iteration,reward_mean,length_mean,games,loss
497000,-0.17,2.83,12,0.013409278355538845
497500,-0.75,2.25,12,0.017240341752767563
498000,-0.25,2.75,12,0.004179186653345823
498500,0.76,3.35,17,0.005488540977239609
499000,0.92,3.92,12,0.003384457901120186
499500,0.67,2.92,12,0.013677285984158516
500000,0.29,2.64,14,0.004199754446744919
500500,0.58,3.11,19,0.003610372543334961
501000,0.5,3.5,12,0.008227439597249031
501500,1.41,4.06,17,0.010166103020310402
502000,1.83,4.83,12,0.0031235921196639538
502500,0.17,2.5,12,0.003224002430215478
503000,2.17,4.58,12,0.00442548468708992
503500,0.5,2.75,12,0.011356920935213566
504000,0.23,2.46,13,0.005666298791766167
504500,0.0,2.42,12,0.0028967964462935925
505000,1.11,3.67,18,0.002000650856643915
505500,0.71,3.21,14,0.0030186534859240055
506000,1.93,4.36,14,0.0009442403097636998
506500,1.13,3.53,15,0.0016466182423755527
507000,1.79,4.21,14,0.006585380993783474
507500,0.58,2.92,12,0.001540851080790162
508000,3.57,6.07,14,0.003488604910671711
508500,3.92,6.92,12,0.009351418353617191
509000,2.67,5.67,12,0.0032028905116021633
509500,0.87,3.27,15,0.0033672188874334097
510000,2.33,4.67,12,0.0036685632076114416
510500,0.92,3.92,12,0.002396185416728258
511000,2.08,4.38,13,0.0011527538299560547
511500,1.13,3.4,15,0.012570718303322792
512000,2.62,5.12,16,0.011716675013303757
512500,2.69,5.25,16,0.0011674470733851194
513000,2.29,4.71,14,0.006040169391781092
513500,4.67,7.67,12,0.0029661720618605614
514000,1.5,4.5,12,0.003499062033370137
514500,3.75,6.75,12,0.003582303412258625
515000,4.83,7.83,12,0.0030044824816286564
515500,4.0,7.0,12,0.0041356622241437435
516000,2.42,4.75,12,0.0016443354543298483
516500,3.33,6.33,12,0.004528965335339308
517000,3.31,5.88,16,0.007090426981449127
517500,4.21,6.79,14,0.012347623705863953
518000,1.33,3.67,15,0.00548966508358717
518500,3.18,5.71,17,0.004383958410471678
519000,2.82,5.41,17,0.012691322714090347
519500,3.0,6.0,12,0.010708432644605637
520000,4.0,6.5,14,0.003870632266625762
520500,2.15,4.62,13,0.015287674032151699
521000,5.33,8.33,12,0.007209133822470903
521500,6.0,9.0,12,0.003809922141954303
522000,4.08,7.08,12,0.0020211872179061174
522500,4.83,7.83,12,0.029525287449359894
523000,5.42,8.42,12,0.005330841988325119
523500,5.17,8.17,12,0.01275570783764124
524000,5.08,8.08,12,0.011076905764639378
524500,5.67,8.67,12,0.003975540399551392
525000,2.5,5.5,12,0.0029993338976055384
525500,6.42,9.42,12,0.02201155759394169
526000,4.92,7.92,12,0.004721555858850479
526500,5.08,8.08,12,0.01658124476671219
527000,3.08,6.08,12,0.005982936359941959
527500,2.83,5.83,12,0.01084825862199068
528000,4.47,7.12,17,0.003945281729102135
528500,5.92,8.92,12,0.010639678686857224
529000,5.25,8.25,12,0.01660214178264141
529500,7.25,10.25,12,0.009994751773774624
530000,5.67,8.67,12,0.009842820465564728
530500,7.33,10.33,12,0.00812788400799036
531000,5.75,8.75,12,0.018874652683734894
531500,5.92,8.92,12,0.00651710806414485
532000,4.75,7.75,12,0.004219690803438425
532500,5.5,8.5,12,0.012458436191082
533000,4.25,7.25,12,0.011472079902887344
533500,4.83,7.83,12,0.0064136856235563755
534000,5.83,8.83,12,0.0061784773133695126
534500,4.92,7.92,12,0.017353791743516922
535000,6.67,9.67,12,0.018531929701566696
535500,6.58,9.58,12,0.006569805555045605
536000,5.42,8.42,12,0.01621372252702713
536500,7.58,10.58,12,0.014081805013120174
