iteration,reward_mean,length_mean,games,loss
1194500,20.83,23.83,12,0.014402170665562153
1195000,23.25,26.25,12,0.01599794626235962
1195500,23.83,26.83,12,0.02896103262901306
1196000,23.67,26.67,12,0.010334087535738945
1196500,19.25,22.25,12,0.0323222354054451
1197000,18.42,21.42,12,0.014007741585373878
1197500,20.0,23.0,12,0.014666338451206684
1198000,23.83,26.83,12,0.015482176095247269
1198500,21.58,24.58,12,0.0185613501816988
1199000,24.42,27.42,12,0.040489234030246735
1199500,23.67,26.67,12,0.026433847844600677
1200000,17.25,20.25,12,0.0095204534009099
1200500,21.25,24.25,12,0.009660972282290459
1201000,27.42,30.42,12,0.01392306201159954
1201500,26.17,29.17,12,0.012927605770528316
1202000,19.17,22.17,12,0.012276561930775642
1202500,24.5,27.5,12,0.020272213965654373
1203000,21.75,24.75,12,0.008847912773489952
1203500,21.58,24.58,12,0.006951906718313694
1204000,20.75,23.75,12,0.010732843540608883
1204500,20.33,23.33,12,0.021034035831689835
1205000,19.33,22.33,12,0.012576669454574585
1205500,20.42,23.42,12,0.010914450511336327
1206000,17.75,20.75,12,0.010594610124826431
1206500,22.25,25.25,12,0.00908222608268261
1207000,20.92,23.92,12,0.01123435515910387
1207500,13.33,16.33,12,0.009007150307297707
1208000,20.67,23.67,12,0.016162963584065437
1208500,15.5,18.5,12,0.020042402669787407
1209000,16.83,19.83,12,0.015038730576634407
1209500,18.5,21.5,12,0.01991187408566475
1210000,18.5,21.5,12,0.011478637345135212
1210500,20.83,23.83,12,0.014115303754806519
1211000,20.75,23.75,12,0.010214457288384438
1211500,22.42,25.42,12,0.009050613269209862
1212000,23.83,26.83,12,0.011781111359596252
1212500,19.58,22.58,12,0.019788702949881554
1213000,18.0,21.0,12,0.014504662714898586
1213500,23.42,26.42,12,0.007868476212024689
1214000,25.17,28.17,12,0.014442352578043938
1214500,24.83,27.83,12,0.01041615754365921
1215000,20.42,23.42,12,0.009845263324677944
1215500,22.17,25.17,12,0.009269398637115955
1216000,19.33,22.33,12,0.019234981387853622
1216500,23.17,26.17,12,0.015911294147372246
1217000,26.92,29.92,12,0.00997951254248619
1217500,23.25,26.25,12,0.013614588417112827
1218000,21.75,24.75,12,0.013891099020838737
1218500,25.42,28.42,12,0.015530448406934738
1219000,23.5,26.5,12,0.01075624581426382
1219500,18.58,21.58,12,0.013781369663774967
1220000,22.0,25.0,12,0.01254967600107193
1220500,18.58,21.58,12,0.007808090187609196
1221000,18.08,21.08,12,0.020694533362984657
1221500,20.17,23.17,12,0.013605031184852123
1222000,18.0,21.0,12,0.010398376733064651
1222500,22.5,25.5,12,0.041690707206726074
1223000,24.75,27.75,12,0.015091854147613049
1223500,25.17,28.17,12,0.008422650396823883
1224000,16.58,19.58,12,0.02679389715194702
1224500,21.58,24.58,12,0.01913328282535076
1225000,20.08,23.08,12,0.014784371480345726
1225500,24.38,27.38,13,0.012495756149291992
1226000,25.58,28.58,12,0.009147550910711288
1226500,19.25,22.25,12,0.027042828500270844
1227000,20.5,23.5,12,0.013587752357125282
1227500,18.92,21.92,12,0.010829756036400795
1228000,23.58,26.58,12,0.016584236174821854
1228500,20.83,23.83,12,0.010711561888456345
1229000,20.25,23.25,12,0.021574892103672028
1229500,22.75,25.75,12,0.025128543376922607
1230000,23.92,26.92,12,0.013076964765787125
1230500,23.33,26.33,12,0.015550876036286354
1231000,17.25,20.25,12,0.009496539831161499
1231500,23.75,26.75,12,0.022816017270088196
1232000,27.0,30.0,12,0.011765957809984684
1232500,24.42,27.42,12,0.006726962514221668
1233000,23.17,26.17,12,0.010220436379313469
1233500,20.25,23.25,12,0.012756307609379292
1234000,24.08,27.08,12,0.00810384750366211
1234500,23.58,26.58,12,0.010543840937316418
1235000,26.75,29.75,12,0.01872190833091736
1235500,23.15,26.15,13,0.011356213130056858
1236000,19.0,22.0,12,0.01913694478571415
1236500,22.08,25.08,12,0.014324045740067959
1237000,24.92,27.92,12,0.020396322011947632
1237500,20.17,23.17,12,0.010671350173652172
1238000,22.17,25.17,12,0.0180977750569582
1238500,26.0,29.0,12,0.02122761681675911
1239000,19.08,22.08,12,0.007046675309538841
1239500,26.33,29.33,12,0.007731305435299873
1240000,26.17,29.17,12,0.02307899296283722
1240500,22.25,25.25,12,0.03037998080253601
1241000,25.33,28.33,12,0.025426849722862244
1241500,22.0,25.0,12,0.019441258162260056
1242000,26.42,29.42,12,0.021353036165237427
1242500,20.58,23.58,12,0.016158975660800934
1243000,22.83,25.83,12,0.02632087469100952
1243500,27.83,30.83,12,0.04541245847940445
1244000,23.5,26.5,12,0.011267884634435177
1244500,18.83,21.83,12,0.009124036878347397
1245000,24.58,27.58,12,0.01035951729863882
1245500,16.67,19.67,12,0.00729984138160944
1246000,26.75,29.75,12,0.023846108466386795
1246500,19.17,22.17,12,0.007168573327362537
1247000,21.92,24.92,12,0.018880978226661682
1247500,21.42,24.42,12,0.007234368473291397
1248000,20.25,23.25,12,0.015722431242465973
1248500,20.83,23.83,12,0.008702395483851433
1249000,22.83,25.83,12,0.0071348086930811405
1249500,18.33,21.33,12,0.022526070475578308
1250000,21.33,24.33,12,0.011011422611773014
1250500,24.67,27.67,12,0.010962453670799732
1251000,24.75,27.75,12,0.00751727307215333
1251500,17.5,20.5,12,0.018032874912023544
1252000,28.17,31.17,12,0.00924728438258171
1252500,22.42,25.42,12,0.006487871520221233
1253000,18.5,21.5,12,0.014725761488080025
1253500,22.25,25.25,12,0.016877517104148865
1254000,23.42,26.42,12,0.01798069290816784
1254500,25.67,28.67,12,0.01772920787334442
1255000,25.83,28.83,12,0.01010311022400856
1255500,23.5,26.5,12,0.009348820894956589
1256000,24.31,27.31,13,0.012444904074072838
1256500,23.0,26.0,12,0.009009703993797302
1257000,25.17,28.17,12,0.04367327690124512
1257500,25.58,28.58,12,0.006590924225747585
1258000,23.25,26.25,12,0.00977548211812973
1258500,21.5,24.5,12,0.014672885648906231
1259000,19.25,22.25,12,0.0341278575360775
1259500,24.42,27.42,12,0.011644771322607994
1260000,19.17,22.17,12,0.009411784820258617
1260500,26.33,29.33,12,0.01655583828687668
1261000,23.83,26.83,12,0.019653864204883575
1261500,24.58,27.58,12,0.013224076479673386
1262000,14.92,17.92,12,0.008107161149382591
1262500,21.25,24.25,12,0.006455584429204464
1263000,25.67,28.67,12,0.009934836998581886
1263500,20.67,23.67,12,0.013237944804131985
1264000,21.17,24.17,12,0.008951431140303612
1264500,22.58,25.58,12,0.019700374454259872
1265000,21.92,24.92,12,0.03208787739276886
1265500,22.25,25.25,12,0.02553640678524971
1266000,25.08,28.08,12,0.018960503861308098
1266500,25.92,28.92,12,0.006753469817340374
1267000,24.33,27.33,12,0.011183745227754116
1267500,17.58,20.58,12,0.012644795700907707
1268000,21.58,24.58,12,0.013214455917477608
1268500,21.75,24.75,12,0.02465943992137909
1269000,17.5,20.5,12,0.008381586521863937
1269500,23.92,26.92,13,0.023873470723628998
1270000,20.92,23.92,12,0.00776334572583437
1270500,22.54,25.54,13,0.014567453414201736
1271000,20.67,23.67,12,0.007063435856252909
1271500,21.5,24.5,12,0.008215755224227905
1272000,18.5,21.5,12,0.022252358496189117
1272500,21.23,24.23,13,0.019284643232822418
1273000,19.75,22.75,12,0.01085655577480793
1273500,23.67,26.67,12,0.008273689076304436
1274000,24.33,27.33,12,0.018962888047099113
1274500,21.33,24.33,12,0.010098692961037159
1275000,19.83,22.83,12,0.01016379613429308
1275500,23.25,26.25,12,0.008404489606618881
1276000,20.33,23.33,12,0.03661621734499931
1276500,25.75,28.75,12,0.03752290830016136
1277000,26.5,29.5,12,0.013333603739738464
1277500,24.75,27.75,12,0.022116707637906075
1278000,23.5,26.5,12,0.03347496688365936
1278500,22.75,25.75,12,0.021419132128357887
1279000,25.0,28.0,12,0.00766641553491354
1279500,26.58,29.58,12,0.03584006428718567
1280000,15.67,18.67,12,0.01019187644124031
1280500,24.17,27.17,12,0.019684839993715286
1281000,24.83,27.83,12,0.009602796286344528
1281500,24.75,27.75,12,0.008913200348615646
1282000,19.92,22.92,12,0.008336363360285759
1282500,20.75,23.75,12,0.017839515581727028
1283000,27.17,30.17,12,0.013157399371266365
1283500,20.0,23.0,12,0.018604768440127373
1284000,17.25,20.25,12,0.028068413957953453
1284500,21.92,24.92,12,0.031162753701210022
1285000,25.67,28.67,12,0.007740451488643885
1285500,22.17,25.17,12,0.008134149014949799
1286000,26.42,29.42,12,0.005500333849340677
1286500,22.92,25.92,12,0.010026451200246811
1287000,24.25,27.25,12,0.008861231617629528
1287500,26.25,29.25,12,0.011482310481369495
1288000,23.17,26.17,12,0.01108438428491354
1288500,26.42,29.42,12,0.009158669039607048
1289000,25.33,28.33,12,0.01882842183113098
1289500,25.42,28.42,12,0.016226179897785187
1290000,27.58,30.58,12,0.007590507157146931
1290500,28.83,31.83,12,0.020365267992019653
1291000,23.92,26.92,13,0.018850136548280716
1291500,23.67,26.67,12,0.013655995950102806
1292000,23.92,26.92,12,0.01812545768916607
1292500,23.83,26.83,12,0.01884526200592518
1293000,24.83,27.83,12,0.029463613405823708
1293500,21.83,24.83,12,0.010354725643992424
1294000,21.25,24.25,12,0.027598518878221512
1294500,22.08,25.08,12,0.0328981913626194
1295000,24.92,27.92,12,0.014420866034924984
1295500,20.33,23.33,12,0.010067196562886238
1296000,23.67,26.67,12,0.013384610414505005
1296500,26.0,29.0,12,0.008561264723539352
1297000,25.92,28.92,12,0.019008152186870575
1297500,22.25,25.25,12,0.01086329109966755
1298000,24.67,27.67,12,0.018000833690166473
1298500,25.5,28.5,12,0.016197843477129936
1299000,23.67,26.67,12,0.0226147323846817
1299500,24.0,27.0,12,0.06070960313081741
1300000,28.42,31.42,12,0.01901591755449772
1300500,20.33,23.33,12,0.02354332059621811
1301000,26.08,29.08,12,0.014653269201517105
1301500,28.0,31.0,12,0.008821545168757439
1302000,28.67,31.67,12,0.01443678978830576
1302500,18.67,21.67,12,0.006653772667050362
1303000,19.42,22.42,12,0.021704256534576416
1303500,24.67,27.67,12,0.00990178994834423
1304000,23.25,26.25,12,0.009125867858529091
1304500,21.83,24.83,12,0.010940180160105228
1305000,24.25,27.25,12,0.031364984810352325
1305500,25.25,28.25,12,0.010628198273479939
1306000,19.75,22.75,12,0.011173474602401257
1306500,20.75,23.75,12,0.004016517195850611
1307000,28.5,31.5,12,0.017888778820633888
1307500,23.08,26.08,12,0.014066178351640701
1308000,21.08,24.08,12,0.00963581446558237
1308500,23.0,26.0,12,0.009696575812995434
1309000,16.83,19.83,12,0.01837277226150036
1309500,22.08,25.08,12,0.009605771861970425
1310000,27.58,30.58,12,0.015642832964658737
1310500,24.0,27.0,12,0.014690235257148743
1311000,19.58,22.58,12,0.017950911074876785
1311500,20.5,23.5,12,0.022462183609604836
1312000,20.83,23.83,12,0.009805897250771523
1312500,21.08,24.08,12,0.016255151480436325
1313000,23.17,26.17,12,0.011687327176332474
1313500,21.0,24.0,12,0.0235492754727602
1314000,27.08,30.08,12,0.017862703651189804
1314500,25.42,28.42,12,0.01921824738383293
1315000,23.17,26.17,12,0.02224976196885109
1315500,26.0,29.0,12,0.010295279324054718
1316000,21.33,24.33,12,0.012777891010046005
1316500,25.58,28.58,12,0.01857081428170204
1317000,23.0,26.0,12,0.0197384562343359
1317500,23.08,26.08,12,0.008821389637887478
